title,journal,volume,number,pages,year,issn,doi,url
The effects of an immersive 3d interactive video program on improving student nurses' nursing skill competence: A randomized controlled trial study,Nurse Education Today,103,,104979,2021,0260-6917,https://doi.org/10.1016/j.nedt.2021.104979,https://www.sciencedirect.com/science/article/pii/S0260691721002367
Effectiveness of augmented reality in learning about leg ulcer care: A quasi-experimental study in nursing students,Nurse Education Today,119,,105565,2022,0260-6917,https://doi.org/10.1016/j.nedt.2022.105565,https://www.sciencedirect.com/science/article/pii/S026069172200301X
Effect of narrative videos and mini-VR games in nursing smoking cessation training on empathy and self-efficacy of smoking cessation counseling: A randomized controlled trial,Nurse Education Today,140,,106272,2024,0260-6917,https://doi.org/10.1016/j.nedt.2024.106272,https://www.sciencedirect.com/science/article/pii/S0260691724001825
Investigating L2 listening comprehension and experience in immersive and interactive virtual reality: An experimental study,Computers & Education,248,,105593,2026,0360-1315,https://doi.org/10.1016/j.compedu.2026.105593,https://www.sciencedirect.com/science/article/pii/S036013152600031X
Is game-based language learning general or specific-oriented? Exploring the applicability of mobile virtual realities to medical English education in the middle east,Computers & Education,213,,105013,2024,0360-1315,https://doi.org/10.1016/j.compedu.2024.105013,https://www.sciencedirect.com/science/article/pii/S0360131524000277
The effects of VR digital gaming on multidimensional engagement among EFL students: Immediate and delayed evidence,Computers & Education: X Reality,9,,100168,2026,2949-6780,https://doi.org/10.1016/j.cexr.2026.100168,https://www.sciencedirect.com/science/article/pii/S294967802600036X
Usage of augmented reality (AR) and development of e-learning outcomes: An empirical evaluation of students’ e-learning experience,Computers & Education,177,,104383,2022,0360-1315,https://doi.org/10.1016/j.compedu.2021.104383,https://www.sciencedirect.com/science/article/pii/S0360131521002608
Immersive technologies in Education: Exploring user experience and engagement in building energy simulations through AR and VR,Computers & Education: X Reality,6,,100097,2025,2949-6780,https://doi.org/10.1016/j.cexr.2025.100097,https://www.sciencedirect.com/science/article/pii/S2949678025000054
Designing a virtual reality-support for the thesis supervision meetings: A case of a Sino-British international university in China,Computers & Education: X Reality,3,,100047,2023,2949-6780,https://doi.org/10.1016/j.cexr.2023.100047,https://www.sciencedirect.com/science/article/pii/S2949678023000417
Faculty learning community (FLC) as a structured intervention to prepare higher education STEM faculty for classroom integration of extended reality (XR),Computers & Education: X Reality,6,,100096,2025,2949-6780,https://doi.org/10.1016/j.cexr.2025.100096,https://www.sciencedirect.com/science/article/pii/S2949678025000042
"The effects of a virtual learning environment compared with an individual handheld device on pharmacology knowledge acquisition, satisfaction and comfort ratings",Nurse Education Today,92,,104518,2020,0260-6917,https://doi.org/10.1016/j.nedt.2020.104518,https://www.sciencedirect.com/science/article/pii/S0260691719318209
Impact of an immersive virtual reality simulator education program on nursing students' intravenous injection administration: A mixed methods study,Nurse Education Today,132,,106002,2024,0260-6917,https://doi.org/10.1016/j.nedt.2023.106002,https://www.sciencedirect.com/science/article/pii/S0260691723002964
Virtual reality in education: The impact of high-fidelity nonverbal cues on the learning experience,Computers & Education: X Reality,2,,100020,2023,2949-6780,https://doi.org/10.1016/j.cexr.2023.100020,https://www.sciencedirect.com/science/article/pii/S2949678023000144
Embodied immersive virtual reality to enhance the conceptual understanding of charged particles: A qualitative study,Computers & Education: X Reality,5,,100075,2024,2949-6780,https://doi.org/10.1016/j.cexr.2024.100075,https://www.sciencedirect.com/science/article/pii/S2949678024000254
