Title,Year,DOI
"Simulating infection prevention and control through virtual reality: a vehicle for equity, diversity, and inclusivity in Africa",2023,10.3389/feduc.2023.1214321
Health Care and Social Work Students’ Experiences With a Virtual Reality Simulation Learning Activity: Qualitative Study,2023,10.2196/49372
Using Immersive Virtual Reality in an Online Biology Course,2023,10.1007/s41979-023-00095-9
Application of AI-driven virtual reality (VR) in improving higher education student’s learning and engagement,2026,10.1007/s10639-026-13912-6
Mobile augmented reality learning objects in higher education,2019,10.25304/rlt.v27.2133
The Use of Extended Reality (XR) in Higher Education: A Systematic Review,2025,10.1007/s11528-025-01092-y
Use of augmented reality (Ar) to aid bioscience education and enrich student experience,2021,10.25304/rlt.v29.2572
Augmented reality technology in a basic Chinese vocabulary course: a study in a Thai university,2025,10.1080/2331186X.2024.2446088
“Case By Case”: Investigating the Use of a VR-Based Allegorical Serious Game for Consent Education,2024,10.3390/virtualworlds3030019
Virtual Reality-based Technologies in Higher Education: A Mixed-Methods Study of Faculty Views in the UAE,2025,10.22521/edupij.2025.18.501
Virtual Reality and Art History: A Case Study of Digital Humanities and Immersive Learning Environments,2022,10.33423/jhetp.v22i2.5036
Utilization of Immersive Virtual Reality as an Interactive Method of Assignment Presentation,2024,10.3390/electronics13081430
Metaverse as the solution to the absence of a constitutional court moot courtroom in universities,2024,10.15294/jphi.v7i2.2477
Teaching-learning strategies to production planning and control concepts: Application of scenarios to sequencing production with virtual reality support,2021,10.26803/IJLTER.20.8.7
ADOPTION AND USAGE OF AUGMENTED REALITY-BASED VIRTUAL LABORATORIES TOOL FOR ENGINEERING STUDIES,2024,10.28945/5351
The intelligence between the influence of AR technical ideological and political courses on the different characteristics of college students,2023,10.32629/jai.v6i3.907
Virtual and augmented reality in education,2019,10.22364/bjmc.2019.7.2.07
Research on the influence of personalized principles in AR educational resources on the learning effectiveness of college students,2026,10.3389/fpsyg.2025.1618990
RESEARCHING INFLUENCES OF LEARNER EXPERIENCE ON AR/VR ADOPTION - THE CASE OF VIETNAMESE UNIVERSITIES,2024,10.28945/5264
Does utilising augmented reality in learning process improve student’s cognitive processing? A cognitive absorption approach,2025,10.25304/rlt.v33.3504
Augmented Quarantine: An experiment in online teaching using augmented reality for customized design interventions,2021,10.52842/conf.ecaade.2021.2.095
A Systematic Overview of Reviews of the Use of Immersive Virtual Reality in Higher Education,2023,10.18870/hlrc.v13i2.1430
The use of mobile augmented reality supported flipped learning model in general chemistry laboratory: Electrolysis experiment example,2025,10.29333/pr/15940
Development and testing of a model for explaining learning and learning-related factors in immersive virtual reality,2024,10.1016/j.cexr.2023.100048
Investigating Virtual Reality as a Resource to Enhance Early Childhood Initial Teacher Education: A Scoping Review,2026,10.1007/s10643-025-01942-7
A teaching design of ecological class based on immersive virtual reality spatial fusion,2022,10.3389/fpsyg.2022.874101
Modelling Higher-Education Students’ Intention to Use Educational Metaverse in Ghana,2026,10.1155/hbe2/4425121
Optimizing augmented reality adoption in higher education: A comprehensive analysis of factors impacting data management efficiency,2024,10.24294/jipd.v8i9.6232
Systematic Examination of Educational Virtual Reality Studies: Google Cardboard,2025,10.17275/per.25.35.12.3
Supporting Flipped and Gamified Learning With Augmented Reality in Higher Education,2021,10.3389/feduc.2021.623745
Education 4.0: MiReBooks - Development and Usage of Mixed Reality for Teaching Mining in Higher Education,2023,10.4995/HEAd23.2023.16300
Mix Method Approach of Measuring VR as a Pedagogical Tool to Enhance Experimental Learning: Motivation from Literature Survey of Previous Study,2022,10.1155/2022/8262304
Entrepreneurship Education Through Mobile Augmented Reality for Introducing SMEs in Higher Education,2021,10.3991/ijim.v15i03.18437
"Contribution of Augmented Reality in Teaching and Learning, in the Midst of COVID-19: Systematic Review",2023,10.26803/ijlter.22.2.17
COMPARING COLLABORATIVE LEARNING IN VARIOUS LEARNING MODALITIES,2023,10.35490/EC3.2023.306
Adoption of virtual reality technology in higher education: An evaluation of five teaching semesters in a purpose-designed laboratory,2022,10.1007/s10639-021-10653-6
Effects of an augmented reality library orientation on anxiety and self-efficacy: An exploratory study,2021,10.5860/crl.82.3.352
"Comparing approaches for selection, development, and deployment of extended reality (XR) teaching applications: A case study at The University of Newcastle Australia",2023,10.1007/s10639-022-11364-2
Enhancing Self-Learning in Higher Education with Virtual and Augmented Reality Role Games: Students’ Perceptions,2023,10.3390/virtualworlds2040020
Comparing Realities: A Study on the Impact of Virtual Reality versus Paper-Based Reading on Higher Education Students' Comprehension Skills,2024,10.17275/per.24.47.11.4
Designing Smart Space Services by Virtual Reality-Interactive Learning Model on College Entrepreneurship Education,2022,10.3389/fpsyg.2022.913277
LF-ViT: Development of a Virtual Reality guided tour mobile app of Landmark University teaching and research farm,2019,10.3991/ijim.v13i05.9119
Next-Gen orientation: supporting international students with generative AI NPCs in VR,2026,10.3389/fcomp.2026.1799323
Virtual Reality as a Tool for Developing Intercultural Competence in the Global Educational Space; [La realidad virtual como herramienta para desarrollar la competencia intercultural en el espacio educativo global],2025,10.56294/mr2025126
Reflections on a virtual reality soft skills teaching intervention,2022,10.4995/HEAd22.2022.14468
Metaverse Technology for Teacher Training Programmes in Higher Learning Institutions: Perceptions of Teacher Trainees,2024,10.24191/ajue.v20i3.27852
Applications of augmented reality as a blended learning tool for architectural education,2022,10.36615/SOTLS.V6I1.247
