Item Title,Relevance,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Effectiveness of Augmented Reality and Virtual Reality Interventions on Learning Outcomes: A Meta-Analysis in Higher Education,Closed Access,TechTrends,,,,10.1007/s11528-025-01106-9,Abhishek KumarJitendranath Gorai,2025,https://link.springer.com/article/10.1007/s11528-025-01106-9,Article
Interactive Molecular Dynamics in Virtual Reality for Multidisciplinary Education: Theory and Higher Education Applications,,Frontiers of Digital Education,,,,10.1007/s44366-025-0073-8,Jinyu MaHuawei CaoDing NieDongping Chen,2025,https://link.springer.com/article/10.1007/s44366-025-0073-8,Article
Design of generative AI-powered pedagogy for virtual reality environments in higher education,,npj Science of Learning,,,,10.1038/s41539-025-00326-1,Ulla Hemminki-ReijonenNoha M. A. M. HassanMinna HuotilainenJaana-Maija KoivistoBenjamin Ultan Cowley,2025,https://link.springer.com/article/10.1038/s41539-025-00326-1,Article
Flight simulator with hardware and virtual reality for aeronautical engineering education in higher education,,Discover Education,,,,10.1007/s44217-026-01702-8,David Santiago Velásquez CifuentesMoisés De Jesús Ibarra GarcíaGabriela MendozaKevin A. Peña,2026,https://link.springer.com/article/10.1007/s44217-026-01702-8,Article
Interplay of perceived organizational and external e-readiness in the adoption and integration of augmented reality and virtual reality technologies in Malaysian higher education institutions,,Education and Information Technologies,,,,10.1007/s10639-023-12428-7,Syed Shah AlamSaif AhmedHusam Ahmad Kokash,2023,https://link.springer.com/article/10.1007/s10639-023-12428-7,Article
Application of AI-driven virtual reality (VR) in improving higher education student’s learning and engagement,,Education and Information Technologies,,,,10.1007/s10639-026-13912-6,Henry Adeyemi AlukoAyodele AlukoFunke OgunjimiGoodness Amaka OffiahMD Nazmul IslamFatima Araujo Pereira Fernandes,2026,https://link.springer.com/article/10.1007/s10639-026-13912-6,Article
Correction to: Interplay of perceived organizational and external e-readiness in the adoption and integration of augmented reality and virtual reality technologies in Malaysian higher education institutions,,Education and Information Technologies,,,,10.1007/s10639-024-12447-y,Syed Shah AlamSaif AhmedHusam Ahmad Kokash,2024,https://link.springer.com/article/10.1007/s10639-024-12447-y,Article
From adoption to social sustainability: examining the factors affecting students’ use of virtual reality in higher education,,Education and Information Technologies,,,,10.1007/s10639-025-13720-4,Mostafa Al-EmranMohammed A. Al-SharafiBehzad ForoughiNoor Al-QaysiNelson KY LeungZaher Mundher YaseenNor’ashikin Ali,2025,https://link.springer.com/article/10.1007/s10639-025-13720-4,Article
"Flipped and Immersive Student Learning Strategy using Metaverse, Augmented &amp; Virtual Reality in Higher Education: a Case Study of Student and Faculty Perspectives",,TechTrends,,,,10.1007/s11528-025-01122-9,Omar TayanAbdelaziz I. HammouriSanaa AskoolHanadi AljohaniBarakat Makrami,2025,https://link.springer.com/article/10.1007/s11528-025-01122-9,Article
Quantitative analysis of the use of virtual reality environments among higher education professors,,Smart Learning Environments,,,,10.1186/s40561-024-00299-5,Álvaro Antón-SanchoDiego VergaraPablo Fernández-Arias,2024,https://link.springer.com/article/10.1186/s40561-024-00299-5,Article
Relationships between students’ affective experiences and technology acceptance in augmented reality design training in higher education,,Educational technology research and development,,,,10.1007/s11423-023-10298-x,Sanghoon ParkHeoncheol Yun,2023,https://link.springer.com/article/10.1007/s11423-023-10298-x,Article
"Exploring the influence of the use of augmented reality for analyzing the safety of sport equipment in motivational climate, behaviors, and intention to use in a higher education context: a structural equation modelling approach",,Education and Information Technologies,,,,10.1007/s10639-024-13266-x,Ana M. Gallardo-GuerreroMaría J. Maciá-AndreuNoelia González-GálvezRaquel Vaquero-CristóbalMarta García-Tascón,2024,https://link.springer.com/article/10.1007/s10639-024-13266-x,Article
"Examining the relationships between students’ perceptions of technology, pedagogy, and cognition: the case of immersive virtual reality mini games to foster computational thinking in higher education",,Smart Learning Environments,,,,10.1186/s40561-023-00233-1,Friday Joseph AgboSunday Adewale OlaleyeMatt BowerSolomon Sunday Oyelere,2023,https://link.springer.com/article/10.1186/s40561-023-00233-1,Article
Adoption of virtual reality technology in higher education: An evaluation of five teaching semesters in a purpose-designed laboratory,,Education and Information Technologies,,,,10.1007/s10639-021-10653-6,Benjy MarksJacqueline Thomas,2021,https://link.springer.com/article/10.1007/s10639-021-10653-6,Article
Evaluating the effectiveness of learning design with mixed reality (MR) in higher education,,Virtual Reality,,,,10.1007/s10055-020-00427-9,Y. M. TangK. M. AuH. C. W. LauG. T. S. HoC. H. Wu,2020,https://link.springer.com/article/10.1007/s10055-020-00427-9,Article
